Model,Accuracy,Precision,Recall,F1,ROC_AUC
SVM_TFIDF,0.9858990944372574,0.985653809971778,0.9886765746638358,0.9871628783417736,0.9981309401474449
SVM_Word2Vec,0.9830530401034929,0.9828396803008933,0.9863175277188017,0.9845755327917108,0.9980653247196697
RandomForest_TFIDF,0.9777490297542044,0.9684404515088689,0.9917433356923803,0.9799533799533799,0.9982678810994389
RandomForest_Word2Vec,0.9698576972833117,0.9619464944649446,0.9839584807737674,0.9728279883381924,0.9950840799875715
NaiveBayes_TFIDF,0.9373868046571798,0.9429110639301722,0.9429110639301722,0.9429110639301722,0.982182133966431
NaiveBayes_Word2Vec,0.906856403622251,0.9156626506024096,0.9143665958952583,0.9150141643059491,0.9634107156142891
